transaction_amount_usd,usd_eth,historic_usd_val,transaction_count_total,transaction_count_sent,eth_fee_spent,token_transfers,outbound_transfers,inbound_transfers,unique_address_recv,unique_address_sent,token_contracts_count,unique_outgoing_address,ether_sent_out,ether_recv_in
37784141.01447441,380.84,2794187.16,9567,8742,5.064466224825516,4407,4344,63,63,3201,54,3592,52567.54132452,46645.096566653214
45374147.10318812,406.57,3387091.31,10169,9268,4.912712693811167,4963,4611,352,350,3252,55,3865,55301.69979456,56300.60018622589
54675827.1229988,470.43,8115103.43,9035,7796,3.8487233260967937,4041,3852,189,188,2782,55,3294,53143.76835384,63081.445010526215
34710202.54691669,464.61,6803926.39,8944,8282,2.7918172616636827,4485,4307,178,178,3223,55,3337,38655.73834427,36052.51706761672
34540826.53480143,470.54,10029027.08,9868,8417,3.532710862914378,4870,4549,321,319,3438,54,3207,33366.88140217,40039.89917929264
45464540.76812794,475.24,6973269.72,11437,10125,5.244266387155175,4808,4605,203,201,3447,62,4597,51658.14045201,44008.34546695293
60034609.45473278,466.27,10722717.56,14690,11443,6.370141502258758,5121,4846,275,274,3702,55,5457,59705.44685804,69049.5866091202
49374259.56692902,427.42,4505225.7299999995,14138,12586,8.486128814428723,7126,6331,795,792,4356,59,5229,64489.44324654,51027.51797878642
44563323.102013014,434.85,9674496.02,12598,10842,6.356266846468482,7513,6057,1456,1442,4533,58,4076,45383.01114758,57096.74762444027
35214598.09917855,461.58,8292868.840000001,10626,9507,4.502022103894382,5491,5112,379,366,3883,62,3660,40284.27727283,36007.15238005477
36571160.73195696,457.96,7829787.66,10627,9098,3.7603714842554226,5131,4852,279,270,3411,59,3431,39853.87706878,40002.79323420926
79854282.93039885,462.81,50868982.47,23731,9319,3.803487767719513,14300,4823,9477,9469,3502,113,3727,39861.11877387,132681.14031819554
42603212.55089472,466.93,48960237.910000004,13061,10684,14.447224671785612,7437,5465,1972,1960,4116,63,4339,48649.33871878,42591.773548357945
49832874.70075361,453.96,11476223.190000001,11236,8134,15.582601056911146,7058,3858,3200,3187,2939,61,3677,45657.78183376,64115.93105009235
74744175.59957346,422.48,7796.67,19249,15055,37.76687849284,8438,7373,1065,1054,5490,60,6256,100563.69266545,76353.9734952522
128092812.87804566,421.15,27622090.85,18203,15356,45.05894707358918,9621,7876,1745,1728,5506,63,6023,168277.06717345002,135873.02870223715
66210596.88636532,451.74,28240829.58,16168,12035,38.09835633,38689,6512,32177,32125,4679,89,4576,75307.88519489394,71260.0452216406
61619493.14483069,472.86,36153489.12,14083,11161,35.858931500000004,57317,6157,51160,50891,4360,117,4303,57660.392847719995,72651.94726315995
43477013.14236656,436.49,28810734.01,12171,9977,25.07020238,21171,5387,15784,15567,4093,63,3806,55016.24526567,44589.73228792013
47698857.29800436,513.29,11030503.78,13196,11632,28.6835073,9888,5920,3968,3598,4418,63,4890,58803.22712108,34124.46930395139
148329006.89967877,656.52,73180076.1,22836,16488,38.913816826200296,14252,8218,6034,5648,5478,71,7131,78369.49551311,147562.70289619782
124994067.97370704,699.09,80385460.63,24063,19737,48.94203946921,17066,10976,6090,5395,7946,69,7638,87613.61431171,91181.77394117166
326244844.7017193,693.58,39680744.73,31126,23844,56.94238559904354,17324,12383,4941,4101,8856,113,9515,263540.67106612964,206837.43196700176
208877665.67421106,684.27,47114216.81,22633,20067,48.3031885144775,13255,10137,3118,2768,7143,68,8130,146783.06970152823,158473.13862882537
124082886.44907305,692.83,30780467.619999997,22900,20511,50.785304273972336,14281,10769,3512,3168,7596,80,8018,101735.51514546,77360.20306690528
136180140.94138595,717.71,28901113.619999997,27505,24267,60.44202262,18787,12679,6108,4981,8820,65,9528,96920.3876132,92822.18381730253
233219942.45208538,785.99,78873160.67,34198,26592,63.02962496,23943,13817,10126,8107,10316,103,10737,118288.96597606,178432.2931393045
309815968.7196832,812.5,77981264.57,45256,35866,77.4094166642,29663,18563,11100,8942,13849,113,14614,193310.3017968632,188001.65970428532
364293183.3603523,799.17,73227194.25,41921,31130,64.00260270620001,19957,14495,5462,3875,10994,99,13533,230061.6465169614,225777.76607404213
254534554.9549426,789.39,85337119.65,44085,35289,75.3482587,26762,18239,8523,6708,13570,106,14164,152439.49934684,170005.11605865366
367091202.76825774,657.83,151656598.72,94292,32603,70.889284355,22665,15166,7499,5623,11746,95,13996,217763.5390972883,340269.9996106723
195894555.12741065,700.44,118998990.73,53160,27530,62.267852335,19309,13331,5978,4159,10720,98,11576,133306.62321054,146366.94644197932
146056642.8041772,675.91,146535909.14999998,32727,24553,54.954181895,16537,11599,4938,3599,8927,91,10713,121387.37408385,94701.51763868288
175484653.03329384,723.14,130073405.21000001,33633,26175,57.867605509,18115,12256,5859,3822,8952,95,11488,139768.70194063,102901.67037080879
175645522.44183087,753.4,102416657.43,34264,26062,58.051353587,17145,12334,4811,3554,9309,96,11558,138506.43294231,94630.70860511618
