transaction_amount_usd,account_balance,transaction_count,transaction_count_sent,transaction_count_recv,eth_fee_spent,token_transfers,outbound_transfers,inbound_transfers,unique_address_recv,unique_address_sent,token_contracts_count,unique_outgoing_address,unique_incoming_address,ether_recv_in
2834829.260554836,6027.79802773,334,148,186,0.190363005,1,0,1,1,0,1,138,179,4639.642781163
1780765.6536683128,5609.929791939,359,168,191,0.216346565,0,0,0,0,0,0,145,189,2436.556510774
1635668.7750334057,5227.616402243,297,117,180,0.149880111,0,0,0,0,0,0,107,178,2255.839190415
2563005.624198253,6090.473543705,344,167,177,0.21835926,0,0,0,0,0,0,137,175,4485.130500722
2923476.503612828,5922.196853876,316,105,211,0.13762618699999998,6,2,4,4,2,4,84,207,4569.038535977
2939186.152015452,10630.037402917,375,184,191,0.250141884,27,13,14,12,10,10,152,192,3497.262198374
1916853.124165135,8811.981142365,361,171,190,0.192651735,33,6,27,27,6,24,137,195,2293.39594894
885481.9670700779,5314.179023225,314,124,190,0.134700027,0,0,0,0,0,0,113,182,1227.310917827
1017032.7950694489,7091.757784288,312,132,180,0.14391078,0,0,0,0,0,0,115,178,1164.487768032
2321678.225143025,5763.9233931280005,381,182,199,0.201846015,19,2,17,17,2,19,146,196,3360.668890908
3611739.158449032,6163.9358108589995,406,222,184,0.250696875,4,1,3,3,1,3,157,180,6650.470463791
2898268.2885313164,5358.673305785001,345,151,194,0.164615097,8,1,7,7,1,7,121,188,4487.392490023
2541507.52687671,5828.989259919,398,191,207,0.20880639299999998,3,1,2,2,1,3,168,202,4549.924524527
2007148.8883171412,5751.530773903,366,191,175,0.206454426,5,0,5,5,0,5,161,172,3372.699373725
3033188.5952169215,97125.35405019099,328,150,178,0.141022242,3,0,3,3,0,3,128,173,8470.573675275
2928185.323087132,5147.029550077,221,210,11,0.17788504,1,0,1,1,0,1,168,8,4496.432036295
4725764.19684499,5444.65859727,358,337,21,0.28508047999999997,3,1,2,2,1,3,268,19,7810.272709925
4053768.1806848147,5713.650951682,347,322,25,0.27248768,3,1,2,2,1,3,275,23,6809.919242092
2205283.1259571016,6248.633359437999,461,435,26,0.37907424000000006,161,16,145,135,15,29,382,40,3764.912700066
2397453.8389840284,6573.652688942,694,672,22,0.45827944000000004,481,42,439,379,42,32,555,72,4474.78949277
1280168.616414222,6332.4608582949995,465,430,35,0.19051246,201,20,181,145,19,31,338,47,1913.869364639
1370333.1038033776,5774.036368222,329,317,12,0.14046028,128,13,115,65,11,29,229,16,2243.645756937
898146.910111398,5140.523801410999,278,250,28,0.11418148,78,18,60,40,15,23,198,32,1199.262914669
1305679.3479585066,5362.899939584,269,239,30,0.10801824,60,16,44,33,12,20,206,34,2310.688456413
751033.7116392653,5394.102280901,535,494,41,0.24129178,294,63,231,220,58,22,389,48,1327.4127649920001
4082816.082484611,6256.205278142001,884,848,36,0.48931186,504,238,266,241,222,21,640,64,6812.464440913
3074201.98201025,5697.733451552,733,692,41,0.35541738,388,123,265,225,115,36,510,52,4632.708761854
1899991.8065739048,6159.460573189,609,580,29,0.27226281999999996,332,53,279,251,53,39,486,54,3431.147584457
2453526.458460584,5464.313359768998,658,612,46,0.28666448,334,56,278,231,54,47,463,56,3556.59935106
9224950.82619076,6470.905366252,914,849,65,0.40826160000000006,268,93,175,129,85,39,593,54,15575.964068083
3042283.828672517,5890.823372437,728,680,48,0.31967045999999993,280,70,210,197,69,48,557,41,4545.280676645
3582360.2067054417,6248.170889061001,855,789,66,0.3898623,390,112,278,229,111,60,593,49,5530.1476789240005
4258370.888601926,5668.245544293,1219,1146,73,0.54597074,660,121,539,515,118,63,921,108,6139.010325972
5178965.7683748035,6343.8632954,1052,970,82,0.47758856,421,126,295,261,123,73,735,65,8177.363739667
4092942.1088236184,5779.566506267999,985,918,67,0.45707284000000004,326,129,197,135,125,67,664,50,5887.352583708
3955122.594423475,6345.524083869,858,793,65,0.38904266000000004,393,100,293,247,97,70,635,64,5987.951320261
1911678.1025387994,5523.663476977999,681,607,74,0.30580638000000004,294,91,203,145,88,78,456,51,2284.764199489
4674421.663564189,5277.439475492,957,855,102,0.43878907999999994,466,143,323,264,141,88,630,67,6233.232687594
7817207.057438403,5954.371969533001,1717,1597,120,0.7868575800000001,991,207,784,539,206,97,1047,114,11180.431651621
7680744.119560256,5842.536740758,1833,1709,124,0.95887396,1110,439,671,541,412,110,1101,100,10028.513245185
15312008.12045024,5463.27522827,2137,2048,89,1.06440464,1404,352,1052,712,328,120,1301,126,18641.617092152002
11168941.794502199,5515.900592314,1290,1207,83,0.6955915800000001,746,341,405,250,320,118,746,81,11897.652755624
218.66776728000002,5515.231684614,511,510,1,0.3967557,532,313,219,148,283,101,240,19,0.099248
262.843644,408.353868896,579,579,0,0.39309958,765,276,489,303,261,118,275,28,0.0
1567958.951808,2582.2979499049998,1428,1427,1,1.05454344,1550,546,1004,908,505,148,910,92,0.25
512797.77774399996,1481.6347695850004,907,907,0,0.87598032,1033,506,527,464,495,156,501,49,0.0
1115.053296,767.807203567,1626,1626,0,1.04432988,1396,435,961,895,412,142,1222,77,0.0
978.369015,764.3612539270001,1667,1667,0,1.19604964,2373,573,1800,1648,491,160,1135,161,0.0
711.248622,761.7071711670001,1458,1458,0,1.11318276,1585,625,960,834,562,158,872,92,0.0
475.912032,789.961307727,938,938,0,0.70666344,1066,399,667,524,362,161,547,51,0.0
590.360436,787.895779007,1017,1017,0,0.69004472,1194,328,866,639,316,156,595,72,0.0
778.83924,785.4254927669999,1291,1291,0,0.80228624,1504,365,1139,870,353,177,829,87,0.0
5585880.785859906,13908.315652482599,638,497,141,0.8933720504000419,533,405,128,117,399,154,239,137,12131.808588788
11272823.122575229,20174.0674021012,1395,1166,229,2.1965645664001263,946,801,145,128,745,174,513,199,16832.306783623
10099454.529134722,8570.186722096398,994,766,228,2.108035710802368,753,662,91,83,594,172,294,179,6189.4431675060005
4982492.351059891,8924.896434568294,1151,822,329,1.8774085984851752,630,540,90,79,449,163,434,272,5693.072361460382
3835717.5103696114,11562.321104305773,1293,690,603,1.685457720228165,583,502,81,76,424,149,322,517,5375.425205387708
