transaction_amount_usd,usd_eth,historic_usd_val,eth_fee_used,ether_sent_out
1396.1501368755,785.01,647810.8799999999,0.0,1.77851255
1368.8424574424998,751.81,616136.8900000001,0.0,1.8207292499999999
4639.905193132499,813.55,664430.4200000002,0.000861,2.92481215
2145.298575926,877.88,711667.3899999999,0.0,2.4437264499999998
2372.5779380875,850.75,683044.22,0.0,2.78880745
1393.4408666339998,811.24,646707.95,0.0,1.7176678499999998
58838921.96894029,865.27,215238908.60999998,0.000588,0.6494723499999999
575.31483849,840.98,662660.41,0.0,0.6841005
915.0472235404,920.11,840332.4499999998,0.001176,0.70799764
761.1574831500002,927.95,719654.1000000001,0.004557,0.7439435000000001
19088.22298168,938.02,1427976.62,0.002877,10.309812
274.76231898,974.77,758121.81,0.0,0.28187399999999996
302.13853865,913.9,707385.7,0.0,0.3306035
249.30185246,939.79,723674.1899999998,0.0,0.265274
290.42310888000003,885.52,678241.1299999999,0.0,0.327969
243.276158,840.1,638831.2000000001,0.0,0.28958
257.99656319999997,804.63,608774.26,0.0,0.32064
242.01685200000003,854.7,643376.73,0.0,0.28316
761.7515157,833.49,623181.14,0.0,0.91393
1659.31436048,840.28,623852.98,0.039123,1.773978
2140.3404542,867.62,636832.4600000001,0.097083,1.968545
1326.0043804,871.58,633444.93,0.0,1.52138
1317.176835,851.5,614265.3,0.0,1.5468899999999999
1625.1781210000001,869.87,621728.78,0.0,1.8683
1320.806832,855.6,606775.7200000001,0.0,1.54372
2121.0108895,855.65,602178.76,0.09949799999999999,1.9624849999999998
1003.63435017,864.83,604253.89,0.0,1.160499
1183.8816732599998,849.42,588141.14,0.026376,1.2038754999999999
10810.5467144755,815.69,568614.85,0.0780675,1.70493645
1909.166500154,751.13,517610.31000000006,0.085722,1.9346253
787.8709352690001,698.83,475811.55,0.0042861,1.0968483
894.2932936539999,726.92,489703.1,0.0,1.23024995
835.5563837899999,682.3,456079.79,0.0,1.2246173
903.8098310759999,720.36,478295.11999999994,0.0052752,1.2134261
808.59233991,697.02,459732.4,0.0,1.1600705
7528.944392152001,689.96,458905.8,0.000588,0.9121462
449.20724061499993,613.15,404612.37,0.0,0.7326220999999999
447.31371801599994,610.56,399803.83999999997,0.0,0.7326286
334.2078864215,600.53,390352.62,0.0,0.55652155
282.1407648785,549.79,355626.06999999995,0.0,0.51317915
1722.071934076,537.38,346366.29,0.00039834375,0.7115701999999999
9035.4811720625,555.55,402842.23,0.00147,0.49189875
865.9482507780001,557.57,404516.98,0.00114594181632,0.49307539999999994
749.0832362715,559.91,356818.54000000004,0.0338142,0.9575866500000001
583.9617875844999,539.89,342276.36,0.0250551,0.79116705
619.2786085395,543.83,342866.49,0.0258699,0.83994865
626.8743350799999,520.16,325853.67,0.0281106,0.88912925
532.0771042878799,523.01,130011878.53999999,0.023341762500000002,0.7620555
428.41727275,486.25,301233.76,0.011203500000000002,0.7523038
669.642858468,448.78,276301.58,0.0,1.4921406000000002
59117.766185325,445.93,384526.62,0.001932,66.5718525
120.24515799999999,383.9,258873.31,0.0,0.31322
48.1681242,393.82,264606.43000000005,0.0,0.12231
42.263022324999994,394.07,97977684.36,0.000127792,0.1072375
160.40840493750002,378.85,175058.74,0.0,0.42340875
237.8678397,384.68,176669.13,0.0,0.6183525
237.204879,415.93,189878.29,0.0,0.5703
215.7296844375,378.65,171833.22999999998,0.0,0.56973375
217.50533910000001,381.36,171879.5,0.0,0.57034125
135.92615328000002,370.35,166148.81000000003,0.00105,0.3653578
123.78004003400001,384.98,172065.02000000002,0.0,0.3215233
66800604.2846356,400.72,166341591.49,0.000756,0.448105
338.86514137,399.02,176570.08,0.0,0.8492435
365.47032122999997,415.65,267956.07,0.0,0.8792742
2501.106143084,430.42,278417.57999999996,0.000378,0.8108502
485.652578505,493.95,317431.99,0.0,0.9832019000000001
762.049300532,494.96,315648.82,0.0,1.53961795
980.6892050735,502.79,318159.66,0.0,1.95049465
212.24183175,534.15,336652.38,0.0,0.397345
53.589655116,511.67,321319.3,0.0,0.1047348
68.73090041399999,503.03,314882.51,0.0,0.1366338
41.849774568,525.78,220744.46,0.0,0.0795956
87.79407665000001,567.25,236420.61,0.0,0.1547714
3867.4352383439996,617.16,383002.49999999994,0.0050799,1.1784434
394.04410003199996,605.17,371963.72,0.0,0.6511296
4390.710771225,621.33,381570.51,0.001176,1.0666325
1315.266180858,644.13,390890.1,2.1e-05,1.9838266
1035.044022195,703.35,421528.5,0.0,1.4715916999999998
858.1588553550001,617.73,368894.61999999994,0.0,1.3892135
720.46946373,661.45,389747.38,0.0,1.0892274
1100.549841973,643.33,375416.59,0.01953,1.3750301
1920.4191252739997,683.02,393717.41000000003,0.0285138,2.3080927
13550.568820046998,689.31,403869.76,0.0371868,2.1007677
928.4846126079999,670.04,387736.69,0.00021,1.3854152
803.959345224,670.81,384505.81999999995,0.0,1.1984904
754.981491148,686.74,389823.74,0.0,1.0993702
1057.5463256459998,777.62,435929.88,0.0035154,1.2963342999999998
2827.6635606590003,784.21,435420.03,0.040299,1.9259358999999998
1568.1053578240003,816.58,448618.42000000004,0.0229719,1.5267998
1686.822595311,790.39,429433.37,0.0248682,1.6994509
1842.7965890399998,752.4,404666.57,0.035847,1.8298286000000001
16921.189387002,747.79,412743.74,0.0447972,1.9007678000000001
23058.78019040947,751.27,432700.52,0.003108,0.7270741000000001
1008.5540864930001,723.61,410601.69,0.0,1.3937813000000001
1554.6663354399998,677.8,378427.82,0.0,2.2936948
