transaction_amount_usd,usd_eth,transaction_count,transaction_count_sent,transaction_count_recv,eth_fee_spent,eth_fee_used,token_transfers,outbound_transfers,unique_address_sent,unique_outgoing_address,ether_sent_out,ether_recv_in
211561623.30217052,3311.12,61920,59251,2669,93.15310271656145,2.677930553911473,20908,14656,13054,41231,35797.443633336865,28096.834828987223
618016111.394844,3147.63,67103,64382,2721,115.1741605322185,3.1817534321149497,25443,17936,15933,42744,97368.88103433595,98974.4348556651
460277902.17391473,3011.96,68361,65618,2743,111.2336676015309,2.97259070426094,26091,18147,16037,43828,72740.98256039302,80075.75543543517
411496176.51315826,3013.52,68515,65804,2711,98.61502937233611,2.658615331362123,26528,18726,16643,43152,69073.20714344003,67476.79966360232
283456117.2821169,3184.74,69481,66733,2748,96.35672333478175,2.429851300924488,26938,19378,15811,43792,51637.804060586845,37366.672688572246
599602438.6276531,3286.5,77831,75049,2782,104.62529919753234,2.3911975320967858,30661,22246,19461,48784,91697.73392753341,90746.33685526077
192500093.2670663,3226.59,68807,66050,2757,77.86170986702204,2.090992722670908,26621,19226,17069,43285,34730.197898077946,24930.33947018586
326384257.51685095,3241.65,63781,61040,2741,74.4832837421795,2.1182266669493792,23159,16658,14513,40819,42406.75248122677,58277.8548998449
657138839.4515536,3322.71,74676,71856,2820,146.28018289678164,3.606804393417918,27372,19501,17033,48254,99671.45140613281,98100.4996373087
885102214.6042395,3172.57,79920,77082,2838,194.4793636415039,4.702467043338393,27925,19874,16941,52043,139241.97875256225,139743.8953508427
366350098.8340903,3228.86,77353,74514,2839,221.18928904028178,5.581183013823186,25557,18437,16068,51075,58494.49613348226,54966.632201004315
435885379.9435866,3093.62,73659,70853,2806,195.1478080988759,5.217673927177425,25201,18128,15658,48467,72176.8904225103,68721.27416899952
656448966.1911594,3275.87,75904,73112,2792,256.0898641265048,6.428046599510256,24859,18508,16322,49963,97944.23225174466,102444.9670117058
197058488.25601926,3246.78,67770,64995,2775,160.76743606930805,4.631022594863868,21780,16238,14542,44900,37463.09347397778,23230.420794318583
323673685.84478045,3225.3,70047,67321,2726,174.48395838920786,4.699364087138112,19674,14537,12665,46446,44230.63759065717,56123.96069315532
650337196.0890039,3228.46,68982,66271,2711,215.49436205346268,5.755287449438226,22979,16404,13703,45866,97415.10256810869,104023.72464022093
1184177703.1044567,3435.17,75284,72461,2823,249.97479135722324,6.488737583093787,25665,17998,15775,50251,174711.05216832028,170010.66556455955
864186391.5682163,3829.18,80845,78000,2845,303.03636084696586,7.22522958366025,26478,18807,16531,54680,117649.53677102146,108034.91566219306
1179169815.5674543,3787.7,79026,76177,2849,269.17626307995727,6.567449690485425,28630,20511,18331,51745,149736.88738196148,161578.6380206455
775887035.066244,3939.79,77366,74513,2853,337.03490642662734,8.896390381192713,27070,19484,17068,50843,112036.09679460656,84900.04321951704
840718878.8599638,3887.01,70354,67551,2803,254.75149796953298,6.982935644885908,25232,17893,15263,45999,97460.68964292888,118828.66357714612
370953053.8000177,3952.33,66358,63607,2751,222.9712812677024,6.400416931845552,23089,16325,14287,43561,45540.15278405231,48316.64910243432
417285849.8490702,3928.4,70920,68165,2755,249.81819250875094,6.525789588807615,26326,18782,16064,45827,43743.35765646727,62479.493847725316
949391972.5186995,3433.48,81729,78968,2761,373.0506249506851,8.187255934625208,32008,22762,19027,51672,138050.64505271157,138459.4766077319
1201194019.9341078,3499.69,75543,72815,2728,341.5017626172995,8.490769541397968,28785,20904,18168,47684,178479.16556354574,164749.52610174686
499329433.79868275,3424.24,76775,74152,2623,309.6714055719349,7.256794217744946,27555,20601,18091,50038,72085.39062962649,73736.58265457168
588296115.5203577,3209.41,77161,74340,2821,230.9896316701858,5.638116784746937,29483,21514,18517,49044,87209.80892465822,96093.70029365845
194877589.62345564,3266.43,71419,68668,2751,139.16767302700853,3.713872932622377,25972,18269,16114,47353,33372.17376586458,26288.553579725456
168338257.84661463,3405.32,65784,63069,2715,124.22281895013926,3.5624008194028383,21715,15389,13465,44459,30002.302966698553,19431.59982264713
492175033.5221721,3285.4,63894,61129,2765,153.98757984882508,4.618439015945517,23983,17126,14842,40733,80292.74125077743,69513.98959544285
401720896.4663321,3436.05,73004,70212,2792,150.37414475177903,3.8128716731347834,28510,20769,17104,45800,51058.58528877495,65854.99177393719
853652847.294592,3615.22,76497,73697,2800,171.0512627243228,4.032477640316979,28741,21299,18587,48444,121582.73484978541,114544.76148365819
528351534.7115194,3569.26,80652,77800,2852,195.3564942388714,4.715986880089023,29159,21605,18500,51312,83610.8965930263,64417.415917555576
