transaction_amount_usd,usd_eth,transaction_count,transaction_count_sent,transaction_count_recv,eth_fee_spent,eth_fee_used,token_tranfers,inbound_transfers,unique_address_recv,token_contracts_count,unique_outgoing_address,unique_incoming_address
8106.278419200001,0.52,25,14,11,0.015188371469451,0.2058072360873813,0,0,0,0,12,7
48691.768876589995,0.49,16,10,6,0.0105,0.24576307951092266,0,0,0,0,8,6
53753.20402235187,0.44,25,10,15,0.0105,0.3291149154207499,0,0,0,0,8,10
54427.70408820994,0.44,36,25,11,0.02625,0.39660655657645866,0,0,0,0,13,10
80079.27101318998,0.59,42,26,16,0.02733843804153,0.6170489565764586,0,0,0,0,17,12
72052.41972373905,0.52,32,26,6,0.0273,0.030723679510922666,0,0,0,0,15,6
3807.5549562517417,0.57,16,13,3,0.01365,0.0032418,0,0,0,0,9,3
12961.0665964455,0.65,48,35,13,0.0433452,0.11134511921709062,0,0,0,0,19,10
182106.12300014324,0.74,30,23,7,0.02415,0.080284438532768,0,0,0,0,14,5
187711.9671004302,0.87,55,33,22,0.03465,0.46009463119660793,0,0,0,0,17,17
229951.42626741214,1.01,96,67,29,0.0707622,0.4920298508885172,0,0,0,0,40,24
164825.68093462338,1.16,70,57,13,0.061282630670052,0.2806886746201493,0,0,0,0,34,13
550610.3955232024,1.04,95,76,19,0.079943480470413,0.3842852491826134,0,0,0,0,39,18
12677.7130043124,0.89,18,14,4,0.0147,0.05280255902184533,0,0,0,0,12,3
10601.229788961,1.05,16,11,5,0.011609654246085,0.05404966515734689,0,0,0,0,8,5
58191.806619984,0.96,42,27,15,0.02835,0.33133003364199465,0,0,0,0,17,11
51912.83119273,1.0,44,35,9,0.0371622,0.1309257975546133,0,0,0,0,27,9
79116.61379887462,0.87,47,32,15,0.0336,0.2828498746201493,0,0,0,0,27,12
75712.4836020516,0.89,44,33,11,0.037269261459262,0.2058072360873813,0,0,0,0,25,8
10680.743541540001,0.92,21,13,8,0.01365,0.12984519755461332,0,0,0,0,9,8
73813.30905915871,0.92,27,22,5,0.0231,0.05388315902184533,0,0,0,0,16,5
46220.4348188028,1.02,37,26,11,0.0273,0.18156715657645864,0,0,0,0,16,9
52570.1685558126,1.0,38,31,7,0.03255,0.08030215395966633,0,0,0,0,20,5
19937.2728857236,0.92,17,9,8,0.009501192151584,0.15408527706553599,0,0,0,0,7,8
6888.868678925312,0.78,16,11,5,0.01155,0.029612479510922662,0,0,0,0,8,5
22050.65002878896,0.89,24,12,12,0.0126,0.158407677065536,0,0,0,0,10,9
19522.6609607124,0.89,24,20,4,0.021102453433908,0.028590237577970076,0,0,0,0,17,3
11407.22273978,0.89,17,10,7,0.0105,0.08040068559147247,0,0,0,0,9,6
25149.127742505,0.9,24,11,13,0.01155,0.2079684360873813,0,0,0,0,10,10
46483.9440014484,0.94,43,28,15,0.0294,0.258707053138006,0,0,0,0,12,9
81912.63925347957,1.0,37,30,7,0.0323244,0.080284438532768,0,0,0,0,18,6
14013.1441167795,0.99,25,20,5,0.021,0.078123238532768,0,0,0,0,13,4
27945.483156183,0.95,28,22,6,0.0231,0.10344391804369066,0,0,0,0,14,5
15217.3072249626,0.93,19,14,5,0.0147,0.05388315902184533,0,0,0,0,8,5
11572.8749790556,0.97,22,20,2,0.021,0.00222972455559174,0,0,0,0,14,2
25310.10134353156,0.96,14,11,3,0.01155,0.0032418,0,0,0,0,10,3
386385.3570994524,0.94,30,17,13,0.01785,0.2806886746201493,0,0,0,0,8,6
23171.7976596652,0.91,39,32,7,0.0336,0.1287645975546133,0,0,0,0,17,6
16920.4074712326,0.86,23,17,6,0.01785,0.10344391804369066,0,0,0,0,13,4
582607.4061148,0.88,15,10,5,0.0105,0.078123238532768,0,0,0,0,10,4
6821.1793398882,0.87,13,12,1,0.0126,0.0010806,0,0,0,0,10,1
19179.4945604535,0.91,10,7,3,0.00735,0.027481879510922663,0,0,0,0,7,3
63619.545676522226,0.87,28,22,6,0.023118556648131,0.0064836,0,0,0,0,13,4
47072.108939152,0.88,43,24,19,0.025283592914958,0.3116277277518423,0,0,0,0,20,15
47353.0422508332,0.87,39,34,5,0.035905775482206,0.10236331804369066,0,0,0,0,19,3
40946.909072455,0.83,30,26,4,0.0281244,0.0043224,0,0,0,0,16,2
13751.727163173598,0.82,27,27,0,0.0287622,0.0,0,0,0,0,18,0
16367.888004459599,0.84,26,21,5,0.02205,0.05388315902184533,0,0,0,0,17,5
15431.790325512999,0.85,21,17,4,0.01785,0.0043224,0,0,0,0,15,3
39793.91879371019,0.84,16,11,5,0.0123744,0.05388315902184533,0,0,0,0,9,5
118576.55235933601,0.8,36,29,7,0.03045,0.10452451804369066,0,0,0,0,23,6
16969.3514304967,0.83,19,17,2,0.01785,0.05064135902184533,0,0,0,0,11,1
11856.036934973601,0.79,32,25,7,0.02625,0.080284438532768,0,0,0,0,16,3
58702.891296033595,0.84,22,18,4,0.0189,0.028562479510922664,0,0,0,0,17,4
