transaction_amount_usd,account_balance,transaction_count_recv,unique_incoming_address
165572150.91677424,824031.345720258,15136,13949
144214088.1314043,822555.8112720186,9340,8839
110765504.50817999,819047.3540130034,9832,9149
143142591.62698433,791249.5123140551,3582,3249
272940507.3715202,882660.1096817512,25918,25338
110213328.05061167,824893.5702825043,1751,1371
202717253.94213778,933209.0237551142,26429,25437
177183520.9832071,937673.6685342657,12215,10988
180708735.0324991,947516.7151807651,16369,14537
117026161.12890936,155083.5075477587,12424,11132
102131026.223291,156616.79199332948,8551,7737
142267450.72654366,163776.67788044416,12357,11199
170222386.11583254,988009.48525034,12682,11598
128086582.26805533,149936.01023786658,10706,9732
122940379.50250405,159504.3277612268,14057,12714
128430500.73743379,164120.67591045162,12570,11366
91384762.3639089,159022.22949038993,10429,9371
87835461.77548826,193408.2218409553,10187,9249
92699507.43535092,1019730.9228270545,8427,7700
135912080.39895186,1030783.5734736014,12226,11101
103770210.87681125,1015744.2352307984,9989,9117
90649570.25405042,1013545.2740866157,10361,9532
73850157.7572451,130753.35444003994,8279,7588
91848443.08072972,141950.135800863,8028,7153
87394795.99688315,143397.1685749817,9135,8399
103331123.66998261,135010.84215560107,8648,7767
99788830.46034728,1003008.4668323861,9191,8308
141951966.11383936,163920.62132938916,10662,9534
177830138.25957435,1035600.2381721013,12600,11180
170281261.25140294,1034209.1133427089,15338,13789
84248371.15506707,1014377.7589991153,7739,7041
131572281.60629569,997030.7392291796,8617,7872
122716049.25700842,129596.89424439034,8799,8023
145755986.06835908,119214.95706297073,10864,9880
175441077.0337531,966129.5721990594,10078,9219
231413457.39933756,979647.5813748753,13535,12167
228925866.47950718,112914.21927447284,13537,12177
191150945.85027653,970496.8044927457,9777,8784
168462620.94098988,81200.11810183527,9551,8484
230333121.13646227,80084.58238601133,10677,9657
305340530.49822205,952848.1423349254,15432,13876
264969389.3341509,94372.48325285556,13724,12062
248757466.94737676,101326.43759485449,10619,9444
239694732.26489806,972589.938943667,11779,10553
235249743.1297694,109447.46873732851,11955,10481
275312698.24356115,119458.84729667277,13323,11443
308543844.05731755,119558.74305292775,13822,12277
260635964.00791445,978396.2535356339,10929,9854
293592373.9788396,95618.14270607234,11523,10361
409383843.2828174,982363.0524618461,14311,12520
458046787.694951,249964.79970555316,281594,280180
405497443.9471623,1141462.1706545055,64355,63044
273185808.0491472,1139213.797978845,9860,8805
270648834.2853852,124870.38715867737,2944,2671
353795398.551145,176933.44059044478,9471,8541
332731256.7249606,1109314.4539230121,14209,12557
301295744.0007892,1116596.0767331112,13419,11937
260213436.7131744,176170.4250502214,17740,15747
243215920.8802325,165833.5113615004,13287,11975
168312413.15748656,1072159.0430674697,10160,9203
278652815.6602464,157572.77026141374,12209,10875
199801531.18767527,145101.9031844621,11099,10009
219439688.5978782,137622.6085229822,11506,10386
208776347.517913,125984.395549113,10316,9405
183650430.9108329,1039372.3237693273,10759,9811
179052426.37043822,107174.68453151373,8150,7378
205661431.7947043,104541.6633948407,8332,7434
204456172.6653048,106834.51386222654,9254,8301
212196313.50874677,121306.25608594694,9850,8846
287073822.8539731,1060067.032731327,14562,12966
220294576.70136267,146063.77042120186,12957,11799
159515650.51421753,137419.9054757716,9976,9108
129916421.79387513,130440.68529559187,7811,7041
174705847.85803816,127941.73310377494,8006,7168
209294991.1725826,149997.0407152411,11065,9786
193572517.56519502,1086767.951302607,12385,11281
187412114.5293777,1067586.319851825,9898,8971
210653874.81833506,1052595.0060888766,10199,9235
176606533.06052184,136889.3005007431,9335,8427
173681183.5256209,1072359.636551092,8811,8020
126041223.36468826,145479.46844507277,7759,7040
171663677.8732967,167032.23481480012,9199,8352
210086954.84336886,1095109.4313919134,9178,8320
143487114.87809342,1097591.9776825586,7625,6987
140781871.85517976,168040.19511258078,7882,7195
158433708.59478262,163350.52564332675,7368,6738
117826401.96145053,1087094.083243481,6341,5783
126002188.6887464,160122.4119194227,10712,9558
157625221.19143945,157787.76564307234,12176,11149
123068261.56083189,1073540.6995057291,11517,10469
170191798.82537508,169304.53324543245,12892,11624
173012958.74055406,1091088.1821115161,10864,9891
124508893.45540251,169269.11514604633,7793,7063
90021963.47740304,159022.41161567878,7074,6400
65785869.83609045,150968.98953508635,5547,4993
91193259.91218998,143510.4157771758,7489,6808
136535738.98477137,1062565.2536118303,9193,8173
130651086.28897023,1051220.3918764563,7238,6610
123021049.88686606,1061552.182654316,9047,8206
140195317.00423485,1072904.6420778006,11444,10199
76007583.41693075,1068951.12720021,7917,7202
156368917.28325254,143689.65289150522,9996,8981
109388652.06118798,1086638.858010797,8692,7905
48113720.15948522,1091699.4268043728,6200,5771
106005139.3593678,1101027.4866479088,7892,7165
94063169.45670526,1100384.8228414243,7812,7058
127961147.91915184,199847.56865119372,10002,8981
88222445.3979995,1121339.642617137,8294,7466
94760420.11373265,1120459.235879368,5883,5282
86346683.35323596,182762.21278905682,7846,7196
86426459.47641866,178131.44106755534,8281,7399
94590055.24295239,1099708.3852002544,6114,5573
110858945.78731215,1091379.6853379896,7812,6857
113839687.66657199,1078727.0991953902,6094,5517
74885043.8530549,154365.55024104618,7032,6355
47695922.41376941,175983.9321617032,6159,5399
111051746.91395153,196713.15991697225,6183,5541
150419761.78027079,1102123.9274679224,6826,6141
68652370.01419319,178733.1837537928,8237,7641
67482461.42210756,176721.4180687322,6700,6064
84815731.17164719,177506.12057516264,7457,6791
75234293.47066332,1101234.3949101095,6453,5486
47758513.91893058,167772.37817435837,6441,5277
80940808.2240118,163684.67239412369,6606,5755
128185811.4525862,162775.19370994752,7259,6363
134498460.3368267,1111373.3421210556,10286,9324
102515682.697211,1107166.5316087871,6298,5618
99001243.37720107,166331.2077478686,7520,6661
47837346.45092862,1085130.2770966867,5547,4953
72718936.3712316,150400.5464526334,4601,4094
109994582.8350084,173723.47859148498,8964,7920
153454873.09823102,227325.33376615503,12623,11638
114383863.29971789,1161921.7125140785,8394,7560
74247113.98649001,240291.03891524946,7798,7051
68531949.34136964,1138618.249210147,4369,4052
59407717.88634504,224164.0665397842,6268,6224
67445555.06560962,1161510.2938792724,5474,5431
84228211.81107593,253757.76359030989,9293,8501
92770512.98875555,1170882.2816591563,8540,7731
90002407.15672691,239975.61147731307,6549,6162
74868235.23240606,1169135.234129771,9762,8939
101114534.97374654,252970.23534064792,10194,9243
60854569.69080953,247855.81844746092,7248,6598
49704329.0601209,248291.70482194558,6011,5528
34166974.05387333,248599.8967536511,7563,6796
77063673.42564075,257752.48716747054,8594,7768
137938422.52741146,301515.1571093296,18264,17347
112819381.04240891,1276434.8466920005,11197,10462
72459859.65032285,273086.7525686645,7898,7194
74689591.68819031,278204.57250000106,9013,8197
44402227.41769414,1273791.2105578582,5682,5248
121698106.50440744,1312420.8207748546,8909,8087
132681591.65517105,292669.38144966087,13938,12657
83115361.5115158,1362270.637621866,10868,9901
74008158.08815232,301595.2206062087,8443,7700
78874642.10888001,1396042.7502697252,10593,9561
67134336.44348224,1377915.3944775425,6820,6220
20642669.807207987,308782.32409893395,5185,4759
60561869.6380823,327849.0795101729,6428,5872
58791120.66221929,1391717.9340015778,6852,6308
84346579.37385045,1414822.1555505695,7080,6467
48589701.69185091,286791.31644191814,6423,5897
60105194.58431093,1427696.6730576225,6931,6330
16722006.952242134,287357.013552851,5719,5217
33766604.96866836,300346.49315761303,5915,5359
54951575.12890674,319247.42554936564,7705,6959
72812799.31842734,338196.68753582716,9410,8519
101664383.50378616,1490166.3062782108,7159,6414
63978275.91006509,286703.17854588,6614,5959
57081995.69732581,1501563.4030555508,7046,6363
67543840.35089664,299311.4053498661,7012,6343
37410980.29401973,287576.1009006738,5710,5133
57033816.42258379,298178.7735763546,7150,6298
83732979.02456057,338767.0894346885,7850,7074
107358769.3449621,1542703.923379564,9672,8631
96758013.41665137,361754.78722814895,11275,10154
115846829.35156447,1602119.833611459,8381,7573
69459379.93568705,340619.46828261466,7020,6323
84078601.59317198,362991.0214416548,6969,6276
66731209.37980216,370991.9722747794,7082,6381
90308693.05294059,1715268.2143888157,7746,6954
114286263.04116425,1762531.9089359688,9441,8459
75742549.71796174,371652.06386095186,8243,7304
67215333.40610461,1787785.8089627218,7206,6347
37853276.717916586,420054.6854811826,5699,5033
47704074.44144347,1815448.194443742,4900,4341
69816627.06460157,411413.3840994274,6702,5939
65207018.21921803,396567.375971181,6841,6179
62842640.706937894,369884.9788718544,6225,5593
71338945.35946417,360050.0545286818,7966,7093
126030246.442883,389045.0313244276,12703,11022
64297570.358004734,1796768.0032871594,6561,5810
63573650.63757173,416727.3353817689,6006,5392
54890872.556541964,388878.4714661166,6286,5649
60670680.08974332,378562.84713442036,6949,6239
62472985.48891437,1776156.6680400227,7092,6345
51465067.07104069,375937.06244145625,6039,5488
57082183.93727787,1789587.494937709,7977,7209
53079061.38605687,403751.74153888377,6432,5636
35906139.18664274,1809645.3669373097,6283,5545
67023043.58598793,1815678.2049791734,7102,6374
49906845.12246422,415772.31854576623,6467,5820
38057951.16434741,413849.54069897626,5997,5331
59882936.890774526,424030.7218790163,5776,5146
37031797.23866585,1815756.2185509996,6215,5518
43126686.78461346,399153.76754788985,5221,4658
37614229.214835286,387874.6153527905,4935,4391
39261717.717615,391917.19197425304,6317,5673
54263091.9554227,1812946.5412193371,6560,6016
42688224.41363137,433446.353476714,6255,5597
135485436.14384174,1837417.7071555047,8767,7818
63562689.1633494,1877675.2068184612,7493,6772
31719184.01759298,389633.8193113587,5205,4753
36912293.45067558,1869157.3710395063,5170,4700
127490145.57852413,1859197.6356759411,7994,7020
58556835.71714354,398868.5362419132,6432,5828
67644832.17129527,1896621.0085978382,6702,6026
51199565.10222765,1898232.1246852677,6106,5527
32045294.153360803,412532.93970625027,5522,4999
58734897.3035912,1889144.555310793,5065,4576
431289108.7420106,1875126.2282781056,4844,4393
47609313.55023948,1345138.62746771,6195,5614
59205072.069837615,347969.97089074616,6382,5792
37348652.51422158,336452.27881014976,6133,5560
45840836.92218913,343510.26176876185,5872,5354
43989496.234939694,882102.3708336418,5849,5264
22701618.796185378,321782.19384229695,4598,4145
26083758.10184832,305799.60036318377,4342,3949
48673445.53351433,307191.03613795934,6959,6235
55674304.439972,327365.5762403462,5957,5393
25795732.829224817,318481.4722504817,6194,5605
59413564.039638355,307531.55495498073,6248,5641
44571196.52976079,302001.44002820086,6350,5782
26547471.50279678,294697.237587662,4991,4536
63677221.55300965,275006.5945181127,5994,5314
54124045.928243764,295403.30666383187,6307,5639
42111483.38958822,300963.5340737299,7523,6689
67275183.06419602,296128.21338446497,6641,5917
51708961.95645558,296864.4879701792,6200,5515
34860503.52226612,300006.7902450288,5777,5128
37791983.12269021,298431.93406816915,4909,4376
42131448.05462132,274263.64810083894,4412,3949
60434977.825507715,934025.3750325228,8319,7831
43660119.49702341,373029.8259137494,5525,5011
72589435.4879504,382409.9725181533,8875,7977
70446455.2730183,901966.0819961925,9435,8489
53885224.32722497,350761.0267447663,7143,6525
28315308.15043922,354753.1716726419,5412,4915
42482982.61443309,399429.4969657334,5141,4731
89486562.89116813,942499.0791946923,9556,8413
132041059.5232192,2023391.0741490382,12496,10896
73124945.37598327,1076871.6877063508,7901,7199
39978041.75212196,363541.0314071002,5464,5015
51969316.61518667,400738.1303301858,6645,5968
52938626.31245727,1147898.2203366195,5689,5092
56920934.55334226,372913.76539413194,9024,7963
61959584.237939976,354480.39789729303,7581,6878
37154747.07159716,1129950.8602515196,6801,6184
84813353.3432199,1139581.975577016,8519,7591
244202297.38652,1121801.117976262,7081,6368
38511342.27987009,1107079.266245228,6553,5924
30515430.522344127,1106760.0924414392,5412,4933
23540606.75834649,1110357.8095949562,4416,4038
37742304.390352026,1109873.968018582,5845,5338
35113577.19167111,1127827.406690292,5765,5220
37976545.91128295,1159785.3908513584,6314,5730
49552019.26856476,1171893.9255666395,7402,6628
72240389.11956505,1243979.9103770477,10330,9073
34413779.50839773,1257335.1236200985,6038,5378
34988786.25891602,1248455.763791672,5177,4642
37084561.707376406,2218631.554976197,5212,4721
18850634.17167786,242047.38541275728,5373,4888
23003055.795649998,1244151.3577109522,5237,4730
32350315.725307006,1257393.1453692166,5477,4868
39815542.14270674,1238589.2181067232,6294,5630
27030805.71078087,1235319.5491616912,5355,4814
23228208.491970815,187816.60177331403,4670,4251
32035427.423100553,1260945.8371761804,6469,5755
57288678.631040104,252277.113600661,6572,5834
69834957.7199455,1268346.345236577,8682,7625
62420873.39722506,1260478.0938175935,8540,7745
62309143.23366218,216647.1948065778,7590,6776
47111427.169243395,1320392.907593578,6726,6212
67896410.02182001,1335840.7380502587,7415,6576
113055034.55002117,1358625.8638641697,9054,7892
59222455.38679847,1307299.9283759107,4400,3891
47999473.020257235,200147.34065138496,5579,4991
53739937.34879035,142769.608666104,5264,4703
63118082.43928555,1241580.958974745,6464,5679
57072605.03793023,1245657.3763582886,5351,4545
35367402.225519456,130104.88696898769,4572,4059
27301322.791736934,1234481.7159723772,4736,4203
40765593.40909705,110547.73009728416,4014,3613
71235834.45862433,205065.26759830702,6639,5663
69276284.18418409,227034.082918571,6210,5516
66055726.0228367,1383915.6167831386,6817,6029
69514201.78210041,1399197.3477027717,6489,5759
57221515.568672545,257534.18875353155,6263,5532
52732169.40782075,266747.1358794665,6457,5758
68002307.98190661,1426365.1293125232,7229,6422
40581419.843591236,260577.09315230564,7500,6720
73791639.82644062,1447319.5307672143,9052,8043
51737037.016029306,1462833.340089334,7118,6423
35340373.55851369,234292.14367896412,4957,4493
30386528.744585328,224811.38249105663,5688,5166
37068096.50765984,1386244.4015995394,2161,2044
51038906.44414187,1457420.1637649399,9564,8570
36703151.42281777,1474347.9298622473,5388,4855
41669891.9154788,1462201.863867507,5536,4972
27467597.302357808,1450263.9471129212,5018,4471
28936061.46070797,246539.8047057106,4825,4206
29144698.63527701,1451588.6872434514,4738,4146
33208481.32552874,1466663.9156333525,4779,4242
17891303.968957707,1458584.4473227737,4966,4409
35422222.00065894,257539.67507716126,4956,4433
54011155.56896144,1494373.8436782986,5024,4536
28851232.87615882,233884.71122976148,5166,4622
15674286.33788288,1467870.4373547067,5014,4474
26414618.839904834,246346.20307033538,5803,5106
45803208.72570735,292946.5523302762,7934,7025
38046358.642211884,1540864.1562019065,5341,4821
28819137.718859177,248745.7030339044,5464,4938
39635440.4022384,1530193.1113299185,7366,6741
26378880.936983995,240415.41602605287,5529,4946
21363430.22337988,239260.4676331903,4422,3956
14318170.021280853,241052.78854223993,4387,3869
15861538.689967275,1516562.62003654,4802,4289
25214310.812129527,1523678.1318831048,5958,5281
37496547.89837645,1530853.783642112,5650,4997
17708840.798430305,249335.74946146976,4886,4359
59298737.74744643,1507160.3792492594,6206,5432
23051904.069071475,222975.25891443345,4701,4151
42092262.07916266,1472349.3047831685,4278,3773
38097893.07334402,218346.7262577078,5094,4526
29971398.61350377,193844.29923268166,4877,4289
32265925.533575054,206722.86574086995,4686,4099
28680294.528354693,225069.20481690025,4266,3705
21864270.932311956,1491276.7339269435,4622,4105
22968853.788613047,1492592.5965327697,4041,3544
42814125.53945188,1520150.1565964234,4901,4148
104302454.23398872,1583080.2817123828,9331,8412
93137175.85940968,1508270.0479946486,6541,5700
62581492.05026929,127782.87855074354,5541,4802
38442728.31223045,118766.97280575937,5245,4584
39615984.3562525,1464450.6471161165,5178,4568
45808546.12262387,136989.2737055161,4467,3998
73536970.71349114,1098308.4654891624,5670,4858
311742058.1090244,2194006.184176979,5083,4557
37668151.89074255,159662.28823816378,5501,5026
93566485.41019627,2322036.113432106,9461,8465
53166013.68536765,2322644.897727019,5611,5004
62806107.53505472,155968.1311307303,5442,4866
44088166.35281592,121107.71139519436,4468,4027
27846236.695727773,93054.97151505329,4110,3683
48691757.36268614,2279688.6806995748,5076,4578
54570475.42368385,2275951.2994659166,6128,5412
40880724.87781665,122901.46187369886,5234,4568
42106190.246819496,2279658.624572362,6078,5379
36932650.93899732,2268573.2414003424,5453,4876
38177124.27865338,116042.12920599917,5718,5100
27053424.80462305,2256013.7373372903,4902,4361
44729164.442487374,80239.72569720079,5564,4924
48433570.44781989,2297004.9551435187,7368,6960
39201429.23360862,2307386.0465355827,5141,4632
31434323.818775102,147939.12313935987,4847,4261
40254894.31731808,140430.07448585847,5795,4949
49379688.54691133,129312.84927205433,5650,4693
24447189.123755187,116526.61776869168,4473,3846
40228740.42782392,2280833.133381446,5875,5114
42955725.51590722,2264799.1027978626,7294,6399
51464939.165830724,2263558.877815074,5043,4328
51410266.95475418,99614.28099456467,6034,5363
42806937.612003684,133433.73989813446,5994,5315
24831342.4242204,2297607.90971351,4432,3817
35664342.19365108,138241.40037698465,4668,4118
51033845.68538742,103954.31802769,5286,4550
54172016.79949993,154504.95322503604,5446,4733
49491235.07227866,2334359.3404291812,6350,5427
35331938.54050341,2334450.0338427783,5599,4795
48788166.75556574,2311322.7765699197,5529,4705
41678860.59684615,157932.1323499355,5049,4315
36994664.80690418,171439.8578243024,5280,4593
53858478.10343888,180847.2564697728,6375,5508
115997990.31514776,2347622.073096325,9054,7535
